"","estimate","se","lcl","ucl","fixed","note"
"p gT0-1 c2006.5 a6 t2012",0.4049331,0.0192788,0.3677767,0.4432118,"     ",""
"p gT0-1 c2006.5 a6.5 t2012.5",0.7616297,0.0187756,0.7229085,0.7964635,"     ",""
"p gT0-1 c2006.5 a7 t2013",0.3986998,0.0180669,0.363873,0.4345827,"     ",""
"p gT0-1 c2006.5 a7.5 t2013.5",0.7804539,0.017157,0.7449878,0.8122308,"     ",""
"p gT0-1 c2006.5 a8 t2014",0.3924991,0.0170033,0.3597186,0.4262781,"     ",""
"p gT0-1 c2006.5 a8.5 t2014.5",0.7981855,0.0157301,0.7655938,0.827268,"     ",""
"p gT0-1 c2006.5 a9 t2015",0.386333,0.0161117,0.3552702,0.4183493,"     ",""
"p gT0-1 c2006.5 a9.5 t2015.5",0.8148247,0.014491,0.7847275,0.8415637,"     ",""
"p gT0-1 c2006.5 a10 t2016",0.380203,0.0154156,0.3504856,0.4108463,"     ",""
"p gT0-1 c2006.5 a10.5 t2016.5",0.8303836,0.0134288,0.802418,0.8551058,"     ",""
"p gT0-1 c2006.5 a11 t2017",0.3741111,0.0149348,0.3453294,0.403812,"     ",""
"p gT0-1 c2006.5 a11.5 t2017.5",0.8448841,0.0125262,0.8187187,0.8678824,"     ",""
"p gT0-1 c2006.5 a12 t2018",0.3680587,0.0146819,0.3397798,0.397275,"     ",""
"p gT0-1 c2006.5 a12.5 t2018.5",0.8583564,0.0117621,0.8337011,0.879883,"     ",""
"p gT0-1 c2006.5 a13 t2019",0.3620477,0.0146599,0.3338349,0.3912445,"     ",""
"p gT0-1 c2006.5 a13.5 t2019.5",0.8708374,0.0111131,0.8474492,0.8911007,"     ",""
"p gT0-1 c2006.5 a14 t2020",0.3560795,0.0148599,0.3275146,0.3857068,"     ",""
"p gT0-1 c2006.5 a14.5 t2020.5",0.8823694,0.0105557,0.8600532,0.9015345,"     ",""
"p gT0-1 c2006.5 a15 t2021",0.3501557,0.0152636,0.3208584,0.3806288,"     ",""
"p gT0-1 c2006.5 a15.5 t2021.5",0.8929983,0.0100681,0.8716045,0.9111906,"     ",""
"p gT0-1 c2006.5 a16 t2022",0.3442778,0.0158454,0.3139191,0.3759635,"     ",""
"p gT0-1 c2006.5 a16.5 t2022.5",0.9027726,0.0096313,0.8821917,0.9200838,"     ",""
"p gT0-1 c2006.5 a17 t2023",0.3384471,0.0165766,0.3067556,0.3716575,"     ",""
"p gT0-1 c2007 a1.5 t2008",0.1115714,0.0219955,0.0751799,0.1624836,"     ",""
"p gT0-1 c2007.5 a1.5 t2008.5",0.7831529,0.0375505,0.7007251,0.8478088,"     ",""
"p gT0-1 c2008 a1.5 t2009",0.1090265,0.021324,0.0737147,0.158362,"     ",""
"p gT0-1 c2008.5 a1.5 t2009.5",0.8007221,0.0348823,0.7235908,0.8604802,"     ",""
"p gT0-1 c2009 a1.5 t2010",0.1065328,0.0206933,0.0722407,0.1543941,"     ",""
"p gT0-1 c2009.5 a1.5 t2010.5",0.8172001,0.0323394,0.7452016,0.8723393,"     ",""
"p gT0-1 c2010 a1.5 t2011",0.1040894,0.0201025,0.0707584,0.150577,"     ",""
"p gT0-1 c2010.5 a1.5 t2011.5",0.8326004,0.0299322,0.7655309,0.8834068,"     ",""
"p gT0-1 c2011 a1.5 t2012",0.1016957,0.0195505,0.0692684,0.1469073,"     ",""
"p gT0-1 c2011.5 a1.5 t2012.5",0.8469463,0.0276672,0.7845728,0.8937073,"     ",""
"p gT0-1 c2012 a1.5 t2013",0.0993509,0.0190362,0.0677718,0.1433814,"     ",""
"p gT0-1 c2012.5 a1.5 t2013.5",0.8602691,0.0255468,0.8023391,0.9032681,"     ",""
"p gT0-1 c2013 a1.5 t2014",0.0970543,0.0185582,0.0662696,0.1399956,"     ",""
"p gT0-1 c2013.5 a1.5 t2014.5",0.8726066,0.0235704,0.8188569,0.9121192,"     ",""
"p gT0-1 c2014 a1.5 t2015",0.0948053,0.0181154,0.0647629,0.136746,"     ",""
"p gT0-1 c2014.5 a1.5 t2015.5",0.8840017,0.021735,0.8341655,0.9202924,"     ",""
"p gT0-1 c2015 a1.5 t2016",0.092603,0.0177062,0.0632533,0.1336284,"     ",""
"p gT0-1 c2015.5 a1.5 t2016.5",0.8945008,0.0200355,0.8483136,0.9278209,"     ",""
"p gT0-1 c2016 a1.5 t2017",0.0904467,0.0173291,0.0617421,0.1306384,"     ",""
"p gT0-1 c2016.5 a1.5 t2017.5",0.9041526,0.0184654,0.8613572,0.934739,"     ",""
"p gT0-1 c2017 a1.5 t2018",0.0883358,0.0169825,0.0602311,0.1277717,"     ",""
"p gT0-1 c2017.5 a1.5 t2018.5",0.9130072,0.0170176,0.8733567,0.9410811,"     ",""
"p gT0-1 c2018 a1.5 t2019",0.0862695,0.0166649,0.058722,0.1250235,"     ",""
"p gT0-1 c2018.5 a1.5 t2019.5",0.9211152,0.0156841,0.8843752,0.9468822,"     ",""
"p gT0-1 c2019 a1.5 t2020",0.084247,0.0163744,0.0572168,0.1223892,"     ",""
"p gT0-1 c2019.5 a1.5 t2020.5",0.9285267,0.0144568,0.8944772,0.9521767,"     ",""
"p gT0-1 c2020 a1.5 t2021",0.0822677,0.0161095,0.0557173,0.119864,"     ",""
"p gT0-1 c2020.5 a1.5 t2021.5",0.9352908,0.0133278,0.9037264,0.9569988,"     ",""
"p gT0-1 c2021 a1.5 t2022",0.0803308,0.0158683,0.0542255,0.1174431,"     ",""
"p gT0-1 c2021.5 a1.5 t2022.5",0.9414551,0.0122894,0.9121855,0.9613818,"     ",""
"p gT0-1 c2022 a1.5 t2023",0.0784356,0.0156492,0.0527435,0.1151218,"     ",""
"p gJ1-2 c2006.5 a2 t2007",0.4221561,0.0500563,0.3282483,0.5220511,"     ",""
"p gJ1-2 c2006.5 a2.5 t2007.5",0.8959298,0.0223485,0.8433022,0.9323011,"     ",""
"p gS1-2 c2006.5 a2 t2007",0.4718096,0.035438,0.4033319,0.5413649,"     ",""
"p gS1-2 c2006.5 a2.5 t2007.5",0.6005544,0.0368731,0.5266013,0.6701903,"     ",""
"p gT1-2 c2006.5 a2 t2007",0.4365234,0.0268611,0.3847761,0.4896908,"     ",""
"p gT1-2 c2006.5 a2.5 t2007.5",0.6520911,0.0293355,0.5926192,0.707171,"     ",""
