"","ch","most_visited","current.age"
"H93","0000000000000000000000100000000000","T",0.427125350134155
"H98","0000000000000000000000101000000000","T",0.429865076134155
"H99","0000000000000000000000000011100000","S",2.6338349597755
"HX3","0000000000000000001010111100000100","T",0.64891376744627
"J01","1110000000000000000000000000000000","J",7.64187224012731
"J03","0010000000000000000000000000000000","J",7.47485584126078
"J04","1010100000000000000000000000000000","J",6.63981135118549
"J08","0011100000000000000000000000000000","J",7.44747733338946
"J10","1010101010100010011010100000000000","J",2.45363749766051
"J13","1010100000000000000000000000000000","J",0.608219178
"J14","0010000000000000000000000000000000","J",4.723287671
"J15","0000101010101010101010101000000000","J",5.45444197498083
"J16","0000000000001010000000000000000000","J",0.706849315
"K00","0000000011011111111011111111101010","T",0.421681528178645
"K31","0000000000000000000000000010000000","J",17.6700946057892
"K34","0000000000000000000000000000000010","S",20.5530514846393
"K36","1000000000000000000000000000000000","T",0.481867364173854
"K38","1010101010101011100000000000000000","T",3.56742520127173
"K47","1010100000000000000000000000000000","S",0.484642720218344
"K52","1111100000100000000000000000000000","T",0.484691475752909
"K57","1010101110000000000000000000000000","S",0.487429326540041
"K58","0010111111110101010000000000000000","S",1.47584409244216
"K59","1011110010000000000000000000000000","S",0.490217809074606
"K64","0010111111000000000000000000000000","S",0.564027265555099
"K67","0000101000000100010101010000000000","S",1.43466381586311
"K68","0000000011011101010100010100010100","J",3.43603274125667
"K69","0010110111111111101110101000000000","T",0.596933981960986
"K70","0010100000000000000000000000001000","T",0.424449382371663
"K71","0000000011000000001000000000000000","T",1.4922449441848
"K72","0010100000000000000000000000000000","T",0.427187233158795
"K73","0010101110100000000000000000000000","S",0.440910241926078
"K74","0010000000100000000000000000000000","T",0.484715854520192
"K76","0000000000000000000000000000000010","S",15.526468079024
"K79","0000000011011101010000010101000001","J",2.49424770052772
"K80","0000100101100000000000000000000000","S",0.503830178282683
"K81","0000001011110111000000000000000000","S",0.465534021094456
"K82","0000000000100000000000000000000000","S",1.43473507495209
"K84","0000000000001000000000000000000000","T",3.57573439048939
"K88","0000000000001000000000000000000000","S",3.68801065152909
"K89","0000000010111111111011111111101000","T",0.421657149411362
"K91","0000000000111101111000010101101010","S",1.58798158472964
"K93","0000000000101111100000000000000000","S",0.424411878114305
"K94","0000000010111101111111111111111111","T",0.421674027327173
"K95","0000000000000000001101000000010000","J",5.62906622445243
"K96","0000000010101111110000000000000000","J",0.440838982837098
"KX1","1010000000000000000000000000000000","S",7.43334552221697
"KX3","0000000000000000000000000010000000","S",14.5462912432505
"KX4","1010100010000000000000000000000000","S",1.51138364571458
"KX6","0000000000000000001010000000000000","S",10.5161748845921
"M00","0000000000000000000000000000000010","T",0.51199872453525
"M01","0000000000000000000000000000001010","S",0.596857097233402
"M09","0000000000000000000000000000001000","S",0.4764085395154
"M15","0000000000000000000000000000001010","T",0.454507608431212
"M17","0000000000000000000000000000001010","T",0.457245459218344
"M18","0000000000000000000000000000001000","T",0.418915548198494
"M19","0000000000000000000000000000001010","T",0.427129100559891
"M21","0000000000000000000000000000001010","T",0.459987060431212
"M24","0000000000000000000000000000000010","T",1.58798158472964
"M25","0000000000000000000000000000001010","T",0.427132850985626
"M26","0000000000000000000000000000001010","T",0.451773508069815
"M27","0000000000000000000000000000001010","T",0.605093152149213
"M30","0000000000000000000000000000001010","T",0.43535765562423
"M34","0000000000000000000000000000000010","T",1.47847880552156
"M36","0000000000000000000000000000001010","T",0.454522611134155
"M38","0000000000000000000000000000001000","S",0.429881954049966
"M40","0000000000000000000000000000001000","T",0.60784413042642
"M45","0000000000000000000000000000001000","J",0.564040393045175
"M53","0000000000000000000000000000001000","S",0.550353014322382
"M56","0000000000000000000000000000001010","T",0.427149728901437
"M61","0000000000000000000000000000001111","T",0.462753040411362
"M73","0000000000000000000000000000001010","J",0.479180145134155
"M74","0000000000000000000000000000001011","T",0.424423129391513
"M81","0000000000000000000000000000000010","J",0.492815016896646
"M83","0000000000000000000000000000000010","T",0.421630896431211
"M87","0000000000000000000000000000000010","T",0.451747255089665
"M89","0000000000000000000000000000000010","T",0.49829071847091
"M95","0000000000000000000000000000000010","T",0.432595426069815
"M98","0000000000000000000000000000000010","T",0.429857575282683
"N01","0000000000000000000000000000101000","T",3.695890411
"N02","0000000000000000000000000000111010","T",1.720547945
"N03","0000000000000000000000000000111010","T",1.720547945
"N04","0000000000000000000000000000111111","T",4.742465753
"N05","0000000000000000000000000000101010","T",0.742465753
"N06","0000000000000000000000000000001010","T",5.42696220461465
"N07","0000000000000000000000000000001010","T",3.4927475082334
"N08","0000000000000000000000000000101010","T",0.734246575
"N09","0000000000000000000000000000101011","T",2.734246575
"N10","0000000000000000000000000000000010","T",4.48930644262081
"N12","0000000000000000000000000000001010","T",0.446575342
"N13","0000000000000000000000000000001010","T",4.517808219
"N14","0000000000000000000000000000001010","T",4.517808219
"N16","0000000000000000000000000000001010","T",0.539726027
"N17","0000000000000000000000000000001010","T",0.583561644
"N18","0000000000000000000000000000001010","T",0.583561644
"N20","0000000000000000000000000000001010","T",0.583561644
"N21","0000000000000000000000000000001110","T",4.583561644
"N22","0000000000000000000000000000001010","T",4.61369863
"N23","0000000000000000000000000000001010","T",4.61369863
"N24","0000000000000000000000000000001010","T",4.61369863
"N25","0000000000000000000000000000001010","T",4.616438356
"N27","0000000000000000000000000000001010","T",3.635616438
"N28","0000000000000000000000000000001110","T",0.690410959
"N30","0000000000000000000000000000001010","T",0.723287671
"N32","0000000000000000000000000000000010","T",1.45157285729295
"N34","0000000000000000000000000000000011","T",5.41874677704038
"N38","0000000000000000000000000000000010","T",0.476712329
"N39","0000000000000000000000000000000010","T",0.476712329
"N40","0000000000000000000000000000000010","T",0.531506849
"N42","0000000000000000000000000000000010","T",0.57260274
"N43","0000000000000000000000000000000010","T",4.57260274
"N44","0000000000000000000000000000000011","T",4.57260274
"N45","0000000000000000000000000000000010","T",0.57260274
"N46","0000000000000000000000000000000010","T",4.57260274
"N47","0000000000000000000000000000000010","T",4.57260274
"N48","0000000000000000000000000000000010","T",4.632876712
"N51","0000000000000000000000000000000010","T",4.632876712
"N55","0000000000000000000000000000000011","T",4.687671233
"N56","0000000000000000000000000000000010","T",0.687671233
"N62","0000000000000000000000000000000010","T",4.734246575
"R01","1010000000000000000000000000000000","J",0.509315255921287
"R05","1000000000100000000000000000000000","S",0.492888151198494
"R07","0000000000000000000000001000000000","S",1.49221118935318
"RU05","0000000000000010000000000000000000","S",1.55513675234839
"RU08","0000000000000000100000000000000000","J",2.63111211169131
"RU09","0000000000000010101010100000000000","T",1.44016577141752
"RU12","0000000000000010101010000000000000","T",0.46006019473306
"RU16","0000000000001000000000000000000000","J",2.61746786286448
"RU24","0000000000000000001010101010101010","S",1.44015076971458
"S01","0000000000000010101010100000000000","T",0.440812728856947
"S03","0000000000000011010000000000000000","T",0.459977684366872
"S04","0000000000000010111010111110101110","T",0.440812728856947
"S06","0000000000000000001100010000000000","J",1.42097831235318
"S08","0000000000000000101000010000000000","J",1.59346853858111
"S10","0000000000000010100000000000000000","T",0.544871687109514
"S11","0000000000000010101010111000000000","T",0.555823090258042
"S12","0000000000000010111010101010101010","T",0.421668401688569
"S13","0000000000000000000010010101000000","S",3.49901268642505
"S14","0000000000000010111010111110101110","S",0.440833357198494
"S15","0000000000000000101010111001101010","T",1.45383814843737
"S16","0000000000000010101010111111101110","T",0.635220763084873
"S17","0000000000000010101000111011101110","T",0.443571207985626
"S18","0000000000000010101010110111100000","T",0.421668401688569
"S19","0000000000000000101000000000000000","T",1.48395450709582
"S20","0000000000000010101010101000101010","T",0.711880585124572
"S21","0000000000000010101010100000000000","S",0.43809738162423
"S23","0000000000000010101000000000000000","T",0.460002063134155
"S24","0000000000000010101000000000000000","S",0.418934301327173
"S25","0000000000000010000000000000000000","T",0.635224513510609
"S26","0000000000000000000010101000000000","T",3.49901643685079
"S27","0000000000000010101000000000000000","T",0.460002063134155
"S32","0000000000000010000010000000000000","S",0.476432918282683
"S34","0000000000000010101011111010011111","T",0.418938051752909
"S37","0000000000000010101000100000000000","T",0.421677777752909
"S38","0000000000000010000000000000000000","T",0.460007688772758
"S39","0000000000000000101000111111111001","T",1.42646901663039
"S40","0000000000000000001010000000000000","S",2.54898783935455
"S41","0000000000000000101111111000000000","T",1.45111154892745
"S42","0000000000000010000000000000000000","T",0.443582459262834
"S46","0000000000000000110101010111100000","S",1.51958032116016
"S50","0000000000000010111111101010111111","T",0.462788669455852
"S54","0000000000000000001000001000001010","S",1.47572595203149
"S55","0000000000000000101000010101111000","S",0.574973043065024
"S58","0000000000000000101011111111111011","T",0.418917423411362
"S60","0000000000000000101000000000000000","T",0.440829606772758
"S61","0000000000000000101010101010111010","T",0.498324473302532
"S63","0000000000000000101010101000000000","S",0.446305308347023
"S65","0000000000000000101000000000000000","S",0.421664651262834
"S66","0000000000000000101110111111100111","S",0.48189736857974
"S67","0000000000000000101000101000001110","T",0.440829606772758
"S68","0000000000000000101010111010101010","S",0.42987820362423
"S69","0000000000000000111010101010101010","T",0.440835232411362
"S72","0000000000000000101010101010000000","T",0.457262337134155
"S77","0000000000000000101010101110001000","T",0.632486662723477
"S79","0000000000000000101010111010101100","T",0.427151604114305
